1 -0.645666 0.15 2.63522
2 -0.443469 1.4 3.05375
3 -0.21885 2.05 3.3666
4 -0.46074 1 3.09082
5 -0.420847 1.4 3.53975
6 0.411138 1.1 3.73467
7 0.0109509 1.75 3.48879
8 -1.22112 0 3.70985
9 0.634961 0.3 3.02566
10 0.122286 2.45 3.5514
11 -0.320866 1.45 3.16301
12 0.120025 2.15 3.36417
13 -0.590131 0.35 3.50077
14 0.91699 0.05 2.08578
15 -0.223221 1.95 3.57591
16 0.154378 1.9 3.47334
17 -0.883074 0.25 4.32387
18 1.20071 0 3.18789
19 -0.695523 0.1 3.36927
20 0.451066 1.3 3.22926
21 1.3522 0 4.67983
22 0.239013 1.45 3.52914
23 0.652594 0.5 3.70366
24 0.0899897 2.3 3.52952
25 -0.939067 0.15 3.70958
26 -0.227115 1.85 3.28486
27 0.459526 0.8 3.5458
28 -1.22514 0 4.6948
29 4.78292 0 7.28096
30 0.536638 0.45 3.24496
31 -0.336632 1.55 3.67972
32 -0.366664 1.55 3.28132
33 0.47639 0.75 3.2952
34 -0.934568 0 3.04693
35 0.292054 2.2 3.12366
36 -1.15869 0.05 3.16802
37 2.88976 0 2.00046
38 -1.69313 0 2.58201
39 2.08738 0 5.61147
40 -0.913746 0.05 2.58451
41 1.50924 0 6.05225
42 0.0476883 2.15 3.29286
43 -2.33324 0 1.44996
44 0.30071 1.3 3.60736
45 0.0967623 2 3.51691
46 -1.0846 0.1 3.69753
47 2.53372 0 1.41053
48 0.803527 0 3.08944
49 0.338901 1.45 3.52558
50 1.02382 0.05 4.11203
51 0.271994 1.2 3.20453
52 -0.213407 1.6 3.29609
53 -1.13081 0 2.67645
54 2.01901 0 5.08782
55 1.41187 0 7.98015
56 1.12597 0 2.09883
57 1.53345 0 4.34259
58 0.115925 2.9 3.24593
59 -2.88087 0 2.19983
60 -2.09915 0 2.61468
61 -1.07397 0 2.62879
62 -0.148757 2.75 3.465
63 -0.502881 1.1 3.13477
64 -0.47952 0.8 3.94501
65 0.158706 1.5 3.39986
66 1.46731 0 3.07362
67 0.136323 2.4 3.19117
68 -0.485024 1.05 2.94682
69 -0.517155 0.8 3.34052
70 2.18172 0 4.3469
71 -3.95536 0 6.93248
72 -0.361886 1.45 3.50032
73 -0.451774 0.8 3.36211
74 -1.19994 0 3.47102
75 -0.359454 1.2 3.49743
76 1.69213 0 4.57459
77 -1.55951 0 3.72007
78 0.312168 1.55 3.43092
79 2.24316 0 2.35784
80 -1.08394 0 2.42971
81 2.81266 0 4.93142
82 -0.135383 2 3.16855
83 -0.50672 0.95 3.27025
84 1.38606 0 7.79415
85 -1.66268 0 2.46477
86 0.258989 2.2 3.40646
87 1.40846 0 2.19707
88 -0.939194 0.05 3.80126
89 -0.00661194 2.4 3.37021
90 1.08406 0.1 3.01077
91 1.22764 0 2.63605
92 -3.01667 0 2.87399
93 -1.84517 0 2.03305
94 1.36204 0 3.96783
95 -2.41597 0 0.546198
96 -0.882132 0.05 2.9644
97 -0.314172 1.4 3.41727
98 -1.21364 0 4.55527
99 3.55952 0 5.74999
100 0.0121482 1.85 3.30668
101 0.600169 0.65 3.46476
102 -3.02151 0 1.30293
103 -0.0158004 2.55 3.36348
104 2.95153 0 6.34825
105 -0.131535 2.2 3.59388
106 0.104046 2.1 3.13735
107 2.11427 0 5.48322
108 0.446177 0.75 3.29944
109 -1.42079 0 4.34212
110 -1.43374 0 5.60635
111 1.59223 0 3.83362
112 0.531846 0.75 3.64171
113 0.196834 1.9 3.20982
114 -0.0134047 2 3.19476
115 1.15359 0 4.21329
116 -1.29366 0 6.91962
